5.6202e-17,4.6548,4.6807,4.6288
0.00062399,0.013677,0.021495,0.0058581
0.0026181,0.00094539,0.0016804,0.00021034
0.0038834,0.00064169,0.0010551,0.00022828
0.0067155,0.00041925,0.00075785,8.0647e-05
0.013941,0.00016584,0.0002915,4.0175e-05
0.0221,0.00013015,0.00023846,2.1838e-05
0.023077,8.8579e-05,0.00016618,1.0974e-05
0.028452,7.9168e-05,0.00014529,1.3042e-05
0.04127,5.1111e-05,8.5814e-05,1.6408e-05
0.044355,4.7279e-05,8.0205e-05,1.4352e-05
0.048024,2.6488e-05,5.2313e-05,6.637e-07
0.098213,1.9114e-05,3.6282e-05,1.9465e-06
0.12125,1.5296e-05,2.8472e-05,2.1203e-06
0.22011,1.3894e-05,2.5295e-05,2.4923e-06
0.26506,1.1376e-05,2.1243e-05,1.5082e-06
0.29802,8.5992e-06,1.661e-05,5.8856e-07
0.34653,3.3964e-06,6.5405e-06,2.5227e-07
0.36244,3.6512e-06,6.37e-06,9.3245e-07
0.37821,3.4316e-06,6.1808e-06,6.8237e-07
0.3796,2.2778e-06,4.4643e-06,9.137e-08
1,2.0121e-06,4.0623e-06,-3.8043e-08
