200,9.2263+3.8227i,9.2357+1.2728i,1.0752,0.0018176,0.0013605,3.3726,9.2427+1.4514i,1.0437,9.9556e-05,1.316e-05,7.3533
400,18.453+7.1233i,18.462+2.8749i,2.8652,0.0038964,0.0051842,4.5453,18.502+2.92i,7.0888,6.7769e-05,2.0625e-05,53.805
600,27.679+10.616i,27.688+3.68i,3.3781,0.0040168,0.0036011,6.8481,27.772+3.4596i,7.3943,5.3524e-05,2.2443e-05,188.96
800,36.905+14.957i,36.953+14.973i,3.931,0.0057801,0.0086124,36.324,37.185+15.048i,19.215,8.7803e-05,9.2421e-05,487.15
2000,92.263+36.599i,92.269+14.298i,9.7595,0.017935,0.0078182,385.19,92.755+12.895i,52.141,4.0143e-05,3.2669e-05,5894.9
