Iteration,Discriminator Loss,Generator Loss
2520,1.344182,0.555889
2530,1.280414,0.738345
2540,1.352902,0.612983
2550,1.337422,0.730668
2560,1.198961,0.570663
2570,1.387444,0.594987
2580,1.398810,0.566128
2590,1.352676,0.606612
2600,1.381479,0.521535
2610,1.209763,0.682432
2620,1.396173,0.545817
2630,1.209536,0.519894
2640,1.285794,0.591774
2650,1.274747,0.492161
2660,1.362263,0.549163
2670,1.431929,0.602217
2680,1.449653,0.523810
2690,1.385727,0.546480
2700,1.351941,0.590411
2710,1.385882,0.502022
2720,1.359087,0.569221
2730,1.361673,0.559697
2740,1.243035,0.572542
2750,1.358574,0.542064
2760,1.329093,0.577897
2770,1.431565,0.523615
2780,1.252953,0.639671
2790,1.316831,0.596920
2800,1.160300,0.599633
2810,1.341617,0.668005
2820,1.220335,0.525878
2830,1.343536,0.632091
2840,1.239974,0.642185
2850,1.228991,0.538359
2860,1.403630,0.543012
2870,1.365352,0.640445
2880,1.384050,0.510215
2890,1.386743,0.604446
2900,1.215547,0.591014
2910,1.207502,0.601917
2920,1.317501,0.628736
2930,1.253029,0.542270
2940,1.382531,0.597506
2950,1.159399,0.691348
2960,1.240539,0.597478
2970,1.250153,0.578436
2980,1.308018,0.602586
2990,1.236165,0.656012
3000,1.294016,0.580128
3010,1.322630,0.615213
3020,1.295247,0.724582
3030,1.392055,0.545942
3040,1.309673,0.658167
3050,1.353564,0.572492
3060,1.276349,0.789867
3070,1.208382,0.581869
3080,1.359988,0.606802
3090,1.372379,0.547481
3100,1.366520,0.591480
3110,1.224657,0.554212
3120,1.389752,0.602782
3130,1.384750,0.557645
3140,1.383938,0.567363
3150,1.224796,0.479591
3160,1.261791,0.559673
3170,1.215943,0.625931
3180,1.409958,0.472693
3190,1.364158,0.611237
3200,1.330163,0.654700
3210,1.409591,0.543037
3220,1.114552,0.501052
3230,1.276745,0.509706
3240,1.199345,0.550947
3250,1.450091,0.489071
3260,1.360482,0.509214
3270,1.387821,0.646657
3280,1.326189,0.680779
3290,1.304679,0.662545
3300,1.136586,0.548945
3310,1.350082,0.767055
3320,1.382460,0.646890
3330,1.382529,0.604469
3340,1.386378,0.597291
3350,1.344185,0.575674
3360,1.384831,0.578299
3370,1.382312,0.662862
3380,1.191223,0.496026
3390,1.362538,0.696703
3400,1.331391,0.553692
3410,1.304341,0.685283
3420,1.340214,0.674574
3430,1.288835,0.700642
3440,1.293709,0.723230
3450,1.231098,0.774228
3460,1.375534,0.634273
3470,1.298002,0.596019
3480,1.288084,0.612749
3490,1.301469,0.624456
3500,1.257393,0.616389
3510,1.149365,0.496478
3520,1.185077,0.620253
3530,1.169662,0.462128
3540,1.202981,0.759190
3550,1.143508,0.446700
3560,1.273360,0.508489
3570,1.169353,0.479041
3580,1.379618,0.635556
3590,1.258477,0.715291
3600,1.374289,0.583343
3610,1.152850,0.452047
3620,1.280912,0.689953
3630,1.344857,0.954930
3640,1.116828,0.424443
3650,1.379379,0.938301
3660,1.333409,0.712205
3670,1.218585,0.751019
3680,1.086632,0.402164
3690,1.130963,0.547139
3700,1.108979,0.450392
3710,1.353258,0.691081
3720,1.132671,0.383898
3730,1.373642,1.080273
3740,1.192651,0.650999
3750,1.226342,0.458678
3760,1.274414,0.724521
3770,1.203238,0.798017
3780,1.298272,0.545219
3790,1.243841,0.734078
3800,1.457517,0.809191
3810,1.581811,0.482345
3820,1.065457,0.358025
3830,1.363136,0.632993
3840,1.280759,0.565767
3850,1.231270,0.901382
3860,1.200077,0.506069
3870,1.261430,0.576983
3880,1.242759,0.700006
3890,1.193744,0.895159
3900,1.348542,0.764234
3910,1.275888,0.642152
3920,1.282992,0.829374
3930,1.125255,0.624745
3940,0.988396,0.322457
3950,1.323939,0.568033
3960,1.062180,0.491219
3970,1.165818,0.710469
3980,1.414356,0.567913
3990,1.320518,0.591441
4000,1.012426,0.374941
4010,1.220262,0.437798
4020,1.272146,0.696126
4030,1.289988,0.763844
4040,1.266005,0.674906
4050,1.302399,0.515391
4060,1.308116,0.632971
4070,1.153112,0.342415
4080,1.290131,0.573440
4090,1.324677,0.634435
4100,1.221776,0.732361
4110,1.120515,0.608764
4120,1.427541,0.528804
4130,1.574092,0.388830
4140,1.052429,0.418455
4150,1.303914,1.021059
4160,1.194900,0.648686
4170,1.303424,0.432402
4180,1.221354,0.824477
4190,1.114148,0.416590
4200,1.212196,0.846402
4210,1.284369,0.912813
4220,1.093336,0.488804
4230,1.382490,0.371727
4240,1.254171,0.520279
4250,1.292958,0.427011
4260,1.281205,0.693518
4270,1.131465,0.430946
4280,1.275941,1.150574
4290,1.381615,0.378982
4300,1.161139,0.626780
4310,1.178683,0.501428
4320,1.222561,0.529780
4330,1.117248,0.565516
4340,1.104505,0.622812
4350,1.311874,0.380410
4360,0.949537,0.319471
4370,1.106109,0.346545
4380,0.886376,0.473371
4390,1.171105,0.568580
4400,1.095233,0.338038
4410,0.985125,0.289684
4420,1.405405,0.370066
4430,1.249712,0.398925
4440,1.058702,0.359995
4450,1.231382,0.532215
4460,1.104692,0.408728
4470,1.269602,0.773153
4480,1.265538,0.477690
4490,1.202325,0.651081
4500,1.073060,0.323618
4510,1.266905,0.334910
4520,1.272645,0.458522
4530,1.186633,0.424888
4540,0.906975,0.423531
4550,1.014841,0.290887
4560,0.987209,0.310554
4570,0.861727,0.354438
4580,1.327020,0.735800
4590,1.292362,0.590497
4600,1.121881,0.336774
4610,1.176598,0.474421
4620,1.405833,0.614831
4630,0.759707,0.258828
4640,0.982424,0.295416
4650,1.286456,0.971189
